ds,yhat,yhat_lower,yhat_upper
2019-12-26,135436.76935804047,15569.684863545528,247594.89241494276
2019-12-27,182474.82962224845,63235.888119249365,294450.0839450376
2019-12-28,145472.5370809544,34973.17497080105,263964.49183832685
2019-12-29,184773.13871100626,64990.83106394613,301046.45053971757
2019-12-30,124085.09297942085,10061.118854911323,235671.29226616336
2019-12-31,-64557.40036633634,-178141.55427085535,41719.01243348815
2020-01-01,38420.941571367846,-78349.01681186947,155429.48051336923
2020-01-02,127934.48141421184,19384.56083767739,242836.70793738335
2020-01-03,186736.75929557017,70322.5169791268,301078.7041933542
2020-01-04,161413.7168359178,54095.03427403638,269443.12385833875
2020-01-05,212031.310950426,102667.45074310563,324584.3768341895
2020-01-06,162028.0103189336,48874.60397520981,276036.42723258864
2020-01-07,-16817.59119502298,-127465.666040319,99491.79942652113
2020-01-08,94835.28901657902,-15102.659120896446,211932.6297742513
2020-01-09,191693.79533492675,76684.04879499611,305538.0177507781
2020-01-10,256336.9943068815,150153.09008904325,373659.66762638127
2020-01-11,235213.69813769776,128903.84302237516,354595.29809891037
2020-01-12,288293.6892325503,179063.47338697,402478.02070751943
2020-01-13,238962.7399476387,121131.71565726526,351727.1813283288
2020-01-14,58991.59298259279,-58710.67986914236,173043.15752327943
2020-01-15,167758.19843924162,52173.62121067385,287016.60007372976
2020-01-16,260050.86248240416,139421.6862967519,368555.116198296
2020-01-17,318571.6139447945,212924.1002899496,435711.83020417514
2020-01-18,289930.7251792877,178942.06119087272,408633.7645539155
2020-01-19,334293.61599881656,220604.3502906698,448517.0404857379
2020-01-20,275270.65366187505,163053.68762104632,380550.9796046329
2020-01-21,84880.1576020641,-29291.95029174982,200004.1615589648
2020-01-22,182764.06875608317,64461.63705519922,291055.7789186615
2020-01-23,263984.1182010631,148320.40582601668,375666.9865752998
2020-01-24,311517.992160994,190984.98535395673,419165.6165393563
2020-01-25,272246.6260426978,160429.5939700129,385105.7457008376
2020-01-26,306594.05287550675,192784.7855609877,415355.0136798632
2020-01-27,238410.51035526677,122868.68493990191,349271.3218335679
2020-01-28,39929.295861275255,-71777.84077116083,150355.62818828918
2020-01-29,130976.99438206083,22498.41476863203,246626.2799178315
2020-01-30,206765.0590198915,92861.96751667577,320272.6317810168
2020-01-31,250382.361996372,133396.78131525093,358849.16845505865
2020-02-01,208779.94227591396,96904.11038802181,335077.52006713185
2020-02-02,242409.4387489786,120016.17317719632,355896.194351339
2020-02-03,175105.9451471085,70857.36959238176,291687.693095133
2020-02-04,-20954.224308564037,-137849.3534854551,100360.96194994487
2020-02-05,73958.7338112963,-46183.28088500012,188366.93709072532
2020-02-06,154922.79980104312,38645.28479947577,271041.14713355526
2020-02-07,204860.76228714478,90182.69382463649,321321.60785259836
2020-02-08,170529.89997632647,65933.09019488413,285320.8041118884
2020-02-09,212166.05992379892,98552.71036017484,328088.993518531
2020-02-10,153372.70677451268,34895.31512926915,261248.34896441645
2020-02-11,-33914.744108653715,-151390.2853521558,81255.00434297726
2020-02-12,69790.09726986551,-46476.1939281262,180263.67014326144
2020-02-13,159326.03654228564,42340.15485896747,273033.2727620998
2020-02-14,217387.48961797406,98521.94287101191,332084.47177066223
